"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","50","80","30","65"
"300","50","80","30","69"
"300","50","80","30","70"
"300","50","80","30","63"
"300","50","80","30","66"
"300","50","80","30","67"
"300","50","80","30","66"
"300","50","80","30","73"
"300","50","80","30","65"
"300","50","80","30","65"
"300","50","80","30","66"
"300","50","80","30","67"
"300","50","80","30","68"
"300","50","80","30","69"
"300","50","80","30","66"
"300","50","80","30","68"
"300","50","80","30","68"
"300","50","80","30","67"
"300","50","80","30","66"
"300","50","80","30","62"
"300","50","80","30","65"
"300","50","80","30","65"
"300","50","80","30","67"
"300","50","80","30","68"
"300","50","80","30","66"
"300","50","80","30","70"
"300","50","80","30","66"
"300","50","80","30","69"
"300","50","80","30","66"
"300","50","80","30","67"
