"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","45","1000","30","712"
"300","45","1000","30","740"
"300","45","1000","30","756"
"300","45","1000","30","845"
"300","45","1000","30","758"
"300","45","1000","30","739"
"300","45","1000","30","842"
"300","45","1000","30","840"
"300","45","1000","30","804"
"300","45","1000","30","773"
"300","45","1000","30","799"
"300","45","1000","30","743"
"300","45","1000","30","761"
"300","45","1000","30","795"
"300","45","1000","30","793"
"300","45","1000","30","797"
"300","45","1000","30","743"
"300","45","1000","30","793"
"300","45","1000","30","766"
"300","45","1000","30","750"
"300","45","1000","30","794"
"300","45","1000","30","797"
"300","45","1000","30","833"
"300","45","1000","30","784"
"300","45","1000","30","808"
"300","45","1000","30","812"
"300","45","1000","30","765"
"300","50","1000","30","755"
"300","50","1000","30","823"
"300","50","1000","30","832"
"300","50","1000","30","725"
"300","50","1000","30","759"
"300","50","1000","30","756"
"300","50","1000","30","720"
"300","50","1000","30","857"
"300","50","1000","30","805"
"300","50","1000","30","818"
"300","50","1000","30","752"
"300","50","1000","30","823"
"300","50","1000","30","849"
"300","50","1000","30","796"
"300","50","1000","30","815"
"300","50","1000","30","797"
"300","50","1000","30","779"
"300","50","1000","30","786"
"300","50","1000","30","830"
"300","50","1000","30","810"
"300","50","1000","30","858"
"300","50","1000","30","834"
"300","50","1000","30","799"
"300","50","1000","30","820"
"300","50","1000","30","784"
"300","50","1000","30","814"
"300","50","1000","30","765"
"300","50","1000","30","769"
"300","50","1000","30","834"
"300","50","1000","30","813"
"300","55","1000","30","819"
"300","55","1000","30","844"
"300","55","1000","30","865"
"300","55","1000","30","855"
"300","55","1000","30","843"
"300","55","1000","30","826"
"300","55","1000","30","804"
"300","55","1000","30","826"
"300","55","1000","30","840"
"300","55","1000","30","814"
"300","55","1000","30","857"
"300","55","1000","30","792"
"300","55","1000","30","865"
"300","55","1000","30","788"
"300","55","1000","30","789"
"300","55","1000","30","811"
"300","55","1000","30","790"
"300","55","1000","30","815"
"300","55","1000","30","828"
"300","55","1000","30","808"
"300","55","1000","30","853"
"300","55","1000","30","862"
