"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","50","1280","30","830"
"300","50","1280","30","904"
"300","50","1280","30","857"
"300","50","1280","30","869"
"300","50","1280","30","900"
"300","50","1280","30","883"
"300","50","1280","30","886"
"300","50","1280","30","918"
"300","50","2560","30","936"
"300","50","2560","30","953"
"300","50","2560","30","903"
"300","50","2560","30","935"
"300","50","2560","30","924"
"300","50","2560","30","899"
"300","50","2560","30","936"
"300","50","2560","30","963"
"300","50","2560","30","967"
"300","50","2560","30","876"
"300","50","2560","30","932"
"300","50","2560","30","886"
"300","50","2560","30","963"
"300","50","2560","30","962"
"300","50","2560","30","911"
"300","50","2560","30","911"
"300","50","2560","30","915"
"300","50","2560","30","899"
"300","50","2560","30","931"
"300","50","2560","30","859"
"300","50","2560","30","937"
"300","50","2560","30","942"
"300","50","2560","30","977"
"300","50","2560","30","893"
"300","50","2560","30","943"
"300","50","2560","30","911"
"300","50","2560","30","950"
"300","50","2560","30","944"
"300","50","2560","30","912"
"300","50","2560","30","823"
"300","50","5120","30","982"
"300","50","5120","30","925"
"300","50","5120","30","957"
"300","50","5120","30","985"
"300","50","5120","30","928"
"300","50","5120","30","933"
"300","50","5120","30","989"
"300","50","5120","30","961"
"300","50","5120","30","936"
"300","50","5120","30","959"
"300","50","5120","30","1017"
"300","50","5120","30","932"
"300","50","5120","30","1006"
"300","50","5120","30","888"
"300","50","5120","30","943"
"300","50","5120","30","996"
"300","50","5120","30","1029"
"300","50","5120","30","950"
"300","50","5120","30","954"
"300","50","5120","30","950"
"300","50","5120","30","1003"
"300","50","5120","30","957"
"300","50","5120","30","948"
"300","50","5120","30","989"
"300","50","5120","30","895"
"300","50","5120","30","953"
"300","50","5120","30","954"
"300","50","5120","30","947"
"300","50","5120","30","993"
"300","50","5120","30","988"
