"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","35","1000","30","738"
"300","35","1000","30","800"
"300","35","1000","30","744"
"300","35","1000","30","761"
"300","35","1000","30","769"
"300","35","1000","30","780"
"300","35","1000","30","781"
"300","35","1000","30","818"
"300","35","1000","30","719"
"300","35","1000","30","804"
"300","35","1000","30","680"
"300","35","1000","30","742"
"300","35","1000","30","723"
"300","35","1000","30","744"
"300","35","1000","30","663"
"300","35","1000","30","772"
"300","35","1000","30","750"
"300","35","1000","30","716"
"300","35","1000","30","714"
"300","35","1000","30","750"
"300","35","1000","30","725"
"300","35","1000","30","726"
"300","35","1000","30","855"
"300","35","1000","30","773"
"300","35","1000","30","741"
"300","35","1000","30","823"
"300","35","1000","30","717"
"300","35","1000","30","752"
"300","35","1000","30","666"
"300","35","1000","30","738"
