"time_limit","decay_rate","packets_per_second","repititions","mean_throughput"
"300","80","1000","30","858"
"300","80","1000","30","876"
"300","80","1000","30","870"
"300","80","1000","30","887"
"300","80","1000","30","881"
"300","80","1000","30","861"
"300","80","1000","30","864"
"300","80","1000","30","878"
"300","80","1000","30","856"
"300","80","1000","30","859"
"300","80","1000","30","875"
"300","80","1000","30","860"
"300","80","1000","30","871"
"300","80","1000","30","861"
"300","80","1000","30","853"
"300","80","1000","30","869"
"300","80","1000","30","858"
"300","80","1000","30","865"
"300","80","1000","30","864"
"300","80","1000","30","871"
"300","80","1000","30","862"
"300","80","1000","30","899"
"300","80","1000","30","862"
"300","80","1000","30","862"
"300","80","1000","30","872"
"300","80","1000","30","872"
"300","80","1000","30","879"
"300","80","1000","30","877"
"300","80","1000","30","861"
"300","80","1000","30","854"
